Label, Id
Sera Durwell,495
Florian,496
Bloodraven,497
White Walker (Spencer Wilding),498
White Walker (The Dragon and the Wolf),499
"Prophecies, visions, and dreams",500
Summer,501
Drowned priest,502
Other,503
Othell Yarwyck,504
Bedding ceremony,505
Sam (Gilly's baby),506
White Walker (Winter Is Coming),507
Salladhor Saan,508
House Stark,509
Leader of the Council,510
Bald Dragonstone servant,511
Abduction of Lyanna Stark,512
Kurleket,513
Eddard and Catelyn Stark,514
The Mad King,515
Mago,516
Maria Laird,517
Owyn Cotter,518
Tommard Karstark,519
Brandon Stark,520
Three-eyed Raven,521
Stiv,522
Louis Suc,523
Gared's sister,524
The Riverlands (Histories & Lore),525
Little Bird 2,526
Syrax,527
Arrax,528
Theon Stark,529
Podrick,530
Fury gunnery officer,531
Lannister guardsman (The Kingsroad),532
Loren I Lannister,533
Damon Lannister,534
Dwarf 1,535
Galbart Glover,536
Ser,537
Lannister captain,538
Sellsail,539
Silver,540
Robert Arryn,541
Wolkan,542
Targaryen Conquest,543
House Casterly,544
Cragorn,545
Terrence Toyne,546
Gared,547
Great Master 2 (Breaker of Chains),548
Valyrian,549
Tournament announcer,550
Willem Wylde,551
Jacks,552
Harwyn Hoare,553
Anya Waynwood,554
Wedlock,555
Melessa Florent,556
Mad King,557
The Blackfish,558
Cersei I Lannister,559
Lord of Bones,560
Captain of the archers (House Bolton),561
Foreign merchant,562
Shagga,563
Catelyn,564
Alicent Hightower,565
Martin Walsh,566
Lord of Light,567
Sellsword (High Sparrow),568
Baratheon soldier (The Dance of Dragons),569
Lannister soldier 1 (Dragonstone),570
Morag Umber,571
Maggy the Frog,572
Maekar Targaryen,573
Erryk,574
Warg,575
Viserys Targaryen,576
Nail,577
Cassana Baratheon,578
Thin man,579
Elyo Grivas,580
Varys,581
Winged Knight,582
City Watch,583
Second Siege of Riverrun,584
Dothraki,585
Elissa Branfield,586
Son of the Harpy,587
Citadel archmaester 1 (Eastwatch),588
Selyse,589
Jonquil,590
Prince,591
House Bolton,592
Monica Baratheon,593
Ray,594
Farmer,595
Davos Seaworth,596
Robert I,597
Serving girl,598
Mord,599
Carl Prekopp,600
Weyland,601
Greens,602
Euron,603
Sarra Frey,604
Qhorin,605
Conquest of Dorne,606
Thenn Warg,607
Karl Jackson,608
Bear,609
Jack,610
Vhagar,611
Septon (The Rains of Castamere),612
Prince of Dragonstone,613
Rhaena Targaryen,614
Mummer (Joffrey Baratheon),615
Sean Buckley,616
Whore (The Mother),617
Greensight,618
Joffrey Dayne,619
Frances,620
Dickon Tarly,621
Tyrell Server,622
Viserys I Targaryen,623
Sandhu,624
Whites,625
Casper,626
Stark guard 2 (The Old Gods and the New),627
Rhaegar,628
Rhogar,629
Barristan Selmy,630
Daniel Tuite,631
Willas Bracken,632
Aeron,633
Clea,634
Daario Naharis,635
Olyvar Frey,636
Daemon Blackfyre,637
Garth the Gardener,638
Kyle Royce,639
Kinvara,640
Mazin (Lord),641
Grazdan mo Eraz,642
Corin Umber,643
Bernadette,644
Paul Bentley,645
Dorna Swyft,646
Frey soldier 2,647
Caraxes,648
Tragedy at Summerhall,649
Smiling Knight,650
Bianca,651
Luthor Tyrell,652
Bolton,653
Baseborn,654
Prince Oberyn,655
Criston Cole,656
Maynard Umber,657
Baratheon soldier 1,658
Starks,659
Lyman Beesbury,660
Erryk Cargyll,661
Whitehill soldier 4,662
Tullys,663
Warlocks of Qarth,664
Eaton,665
Derrock,666
Red Priests,667
Tommen Baratheon,668
Old woman,669
Bernarr II Justman,670
Cley Cerwyn,671
Lyanna Stark,672
Lewyn Martell,673
Captured wight,674
Andros,675
Aerion Targaryen,676
Brandon Stark (the Builder),677
Vermithrax,678
Rhaegel Targaryen,679
Lannister captain (Home),680
Torrhen Stark,681
Essovius,682
Renly Baratheon,683
Talisa Maegyr Stark,684
Jasper Arryn,685
Jon Stark,686
Little Sam,687
Grey Worm and Missandei,688
Little Bird 6,689
Sellswords,690
Bolton officer,691
Moro's bloodrider 2,692
Elia Martell,693
Rhaella Targaryen,694
Lucifer Dryland,695
Amory Lorch,696
Grey Wind,697
Edmure,698
Battle of the Gullet,699
Hound,700
Robar II Royce,701
Warrior women,702
Littlefinger,703
Farlen,704
Arya stark,705
Brothel child 2,706
Recast characters,707
Yezzan zo Qaggaz,708
Manfred Hightower,709
Dirk,710
Munkun,711
Pat McGrath,712
Dawn,713
Martell (daughter of Mors),714
First Blackfyre Rebellion,715
Yorick V Yronwood,716
Lodos,717
Karl Tanner,718
Mandy,719
Queen,720
Lannister torturer,721
House Baelish (Histories & Lore),722
Moro's bloodrider 1,723
Bobono,724
Catelyn Tully,725
Brothel guard,726
Frey guard,727
Barth,728
Lannisters,729
Xena Avramidis,730
Mira Forrester,731
Jasper Wylde,732
Ghost,733
Grenn,734
Osric Stark,735
Cheyk,736
Aya,737
Wildling,738
Izembaro,739
Old man,740
Mern IX Gardener,741
R'hllor,742
Tyrell guard (The Gift),743
The Night King,744
Ebrose,745
Will,746
Brandon Umber,747
Emilia Umber,748
Endrew Tarth,749
Vorian Dayne,750
Larys Strong,751
Riverrun traveller,752
Glamor,753
Wun Weg Wun Dar Wun,754
Morghul,755
Imry,756
Wight Walkers,757
Samantha McEwan,758
The Kingsmoot (Histories & Lore),759
Costumes: Beyond the Wall,760
Aerys II Targaryen,761
Braavoshi Captain,762
Peter Ballance,763
Gold Cloak 1 (Eastwatch),764
Bran I Stark,765
Trystane Martell,766
War of the Four Kings,767
Petyr Karstark,768
House Umber,769
Boros Blount,770
Lothor Brune,771
Assassination at the Red Keep,772
Thorren Forrester,773
Silent Sisters,774
Errold Holt,775
Kieran,776
Jon Umber (Smalljon),777
Daemon I Blackfyre,778
Moro (son of Mengo),779
Maynard (High Septon),780
Tyland Lannister,781
Orphan kid,782
Faith Militant 2,783
Donnel Waynwood,784
Branfield (Lord),785
Bolton (son of Roose),786
White walkers,787
High Sparrow,788
Rhoynar,789
Maelys Blackfyre,790
Blackfish,791
Lordship,792
Damon Marbrand,793
Mad King Aerys (Complete Guide to Westeros),794
Rhaegar Targaryen and Lyanna Stark,795
Daragh Umber,796
Master Eaton,797
Ser Jorah,798
Freerider,799
Lollys Stokeworth,800
Akrat,801
Dorian Hightower,802
Brotherhood Member,803
Qano,804
Margaery Tyrell,805
Brothel Smith goddess,806
Akho,807
Dorea Sand,808
Jonothor Darry,809
Rhaenys Targaryen (daughter of Rhaegar),810
Daario,811
Syrio Forel,812
Ormund Baratheon,813
Wyllis Bracken,814
Queen Cersei,815
Wildlings,816
Baelor I Targaryen,817
Melara Hetherspoon,818
Stark guard 2 (A Man Without Honor),819
Stark soldier 1,820
James McHale,821
Stalwart Shield,822
First Men,823
Margaery's handmaiden,824
Baelish (founder),825
Viserys III Targaryen,826
Night's Queen,827
Bear Island maester,828
Singing Lannister soldier,829
Finn,830
Wendel,831
The Bastards of Westeros (Histories & Lore),832
Aegon Targaryen (son of Aenys),833
Water Dancer,834
Loren Lannister,835
Blood (Former Gold Cloak),836
Arya Stark,837
Tim Landers,838
Jason Lannister,839
Musician 1 (The Lion and the Rose),840
Sellsword 2 (High Sparrow),841
Qyle Corbray,842
Tanda Stokeworth,843
Dragon,844
Drummer,845
Little Bird 5,846
Stark guard (The Pointy End),847
Tortured prisoner,848
Vardis Egen,849
Goldcloak 1 (The Wolf and the Lion),850
Othor,851
House Frey,852
Lyonel Baratheon,853
Gold Cloak 2 (Lord Snow),854
Stark messenger,855
Black Walder Rivers,856
Barbrey Dustin,857
Heward,858
Gordy,859
Bastards,860
Locke,861
Iggo,862
Hugh,863
Egg,864
